,Country,Value,Year,Sex,Indicator,id
23,Latvia,11.338,2013,M,EMP13_A,428
24,Lithuania,10.849,2013,M,EMP13_A,440
0,Austria,5.074,2014,M,EMP13_A,40
1,Belgium,1.546,2014,M,EMP13_A,56
2,Czech Republic,3.6,2014,M,EMP13_A,203
3,Denmark,3.904,2014,M,EMP13_A,208
4,France,3.898,2014,M,EMP13_A,250
5,Germany,1.793,2014,M,EMP13_A,276
6,Greece,13.979,2014,M,EMP13_A,300
7,Hungary,6.378,2014,M,EMP13_A,348
8,Iceland,6.877,2014,M,EMP13_A,352
9,Ireland,8.56,2014,M,EMP13_A,372
10,Italy,4.532,2014,M,EMP13_A,380
11,Luxembourg,2.206,2014,M,EMP13_A,442
12,Netherlands,2.814,2014,M,EMP13_A,528
13,Norway,3.341,2014,M,EMP13_A,578
14,Poland,12.458,2014,M,EMP13_A,616
15,Portugal,10.859,2014,M,EMP13_A,620
16,Slovak Republic,4.936,2014,M,EMP13_A,703
17,Spain,5.914,2014,M,EMP13_A,724
18,Sweden,2.924,2014,M,EMP13_A,752
19,Switzerland,4.209,2014,M,EMP13_A,756
20,United Kingdom,1.717,2014,M,EMP13_A,826
21,Estonia,5.39,2014,M,EMP13_A,233
22,Slovenia,9.575,2014,M,EMP13_A,705
23,Latvia,10.566,2014,M,EMP13_A,428
24,Lithuania,11.747,2014,M,EMP13_A,440
0,Austria,4.814,2015,M,EMP13_A,40
1,Belgium,1.566,2015,M,EMP13_A,56
2,Czech Republic,3.927,2015,M,EMP13_A,203
3,Denmark,3.787,2015,M,EMP13_A,208
4,France,3.689,2015,M,EMP13_A,250
5,Germany,1.776,2015,M,EMP13_A,276
6,Greece,13.282,2015,M,EMP13_A,300
7,Hungary,6.791,2015,M,EMP13_A,348
8,Iceland,6.505,2015,M,EMP13_A,352
9,Ireland,8.454,2015,M,EMP13_A,372
10,Italy,4.692,2015,M,EMP13_A,380
11,Luxembourg,1.418,2015,M,EMP13_A,442
12,Netherlands,2.784,2015,M,EMP13_A,528
13,Norway,2.975,2015,M,EMP13_A,578
14,Poland,12.445,2015,M,EMP13_A,616
15,Portugal,9.558,2015,M,EMP13_A,620
16,Slovak Republic,4.658,2015,M,EMP13_A,703
17,Spain,5.797,2015,M,EMP13_A,724
18,Sweden,2.944,2015,M,EMP13_A,752
19,Switzerland,3.838,2015,M,EMP13_A,756
20,United Kingdom,1.559,2015,M,EMP13_A,826
21,Estonia,5.214,2015,M,EMP13_A,233
22,Slovenia,6.96,2015,M,EMP13_A,705
23,Latvia,10.869,2015,M,EMP13_A,428
24,Lithuania,11.621,2015,M,EMP13_A,440
0,Austria,4.721,2016,M,EMP13_A,40
1,Belgium,1.677,2016,M,EMP13_A,56
2,Czech Republic,3.831,2016,M,EMP13_A,203
3,Denmark,3.563,2016,M,EMP13_A,208
4,France,3.957,2016,M,EMP13_A,250
5,Germany,1.67,2016,M,EMP13_A,276
6,Greece,12.815,2016,M,EMP13_A,300
7,Hungary,6.885,2016,M,EMP13_A,348
8,Iceland,5.409,2016,M,EMP13_A,352
9,Ireland,8.44,2016,M,EMP13_A,372
10,Italy,4.866,2016,M,EMP13_A,380
11,Luxembourg,1.399,2016,M,EMP13_A,442
12,Netherlands,2.778,2016,M,EMP13_A,528
13,Norway,3.078,2016,M,EMP13_A,578
14,Poland,11.502,2016,M,EMP13_A,616
15,Portugal,8.932,2016,M,EMP13_A,620
16,Slovak Republic,4.081,2016,M,EMP13_A,703
17,Spain,5.958,2016,M,EMP13_A,724
18,Sweden,2.678,2016,M,EMP13_A,752
19,Switzerland,3.706,2016,M,EMP13_A,756
20,United Kingdom,1.554,2016,M,EMP13_A,826
21,Estonia,5.693,2016,M,EMP13_A,233
22,Slovenia,5.707,2016,M,EMP13_A,705
23,Latvia,10.502,2016,M,EMP13_A,428
24,Lithuania,10.558,2016,M,EMP13_A,440
0,Austria,4.15,2017,M,EMP13_A,40
1,Belgium,1.555,2017,M,EMP13_A,56
2,Czech Republic,3.605,2017,M,EMP13_A,203
3,Denmark,3.128,2017,M,EMP13_A,208
4,France,3.513,2017,M,EMP13_A,250
5,Germany,1.621,2017,M,EMP13_A,276
6,Greece,12.507,2017,M,EMP13_A,300
7,Hungary,6.858,2017,M,EMP13_A,348
8,Iceland,5.321,2017,M,EMP13_A,352
9,Ireland,7.984,2017,M,EMP13_A,372
10,Italy,4.819,2017,M,EMP13_A,380
11,Luxembourg,1.37,2017,M,EMP13_A,442
12,Netherlands,2.682,2017,M,EMP13_A,528
13,Norway,3.061,2017,M,EMP13_A,578
14,Poland,11.269,2017,M,EMP13_A,616
15,Portugal,8.501,2017,M,EMP13_A,620
16,Slovak Republic,3.819,2017,M,EMP13_A,703
17,Spain,6.084,2017,M,EMP13_A,724
18,Sweden,2.561,2017,M,EMP13_A,752
19,Switzerland,3.477,2017,M,EMP13_A,756
20,United Kingdom,1.608,2017,M,EMP13_A,826
21,Estonia,5.018,2017,M,EMP13_A,233
22,Slovenia,6.165,2017,M,EMP13_A,705
23,Latvia,9.524,2017,M,EMP13_A,428
24,Lithuania,10.303,2017,M,EMP13_A,440
0,Austria,4.053,2018,M,EMP13_A,40
1,Belgium,1.555,2018,M,EMP13_A,56
2,Czech Republic,3.629,2018,M,EMP13_A,203
3,Denmark,3.278,2018,M,EMP13_A,208
4,France,3.513,2018,M,EMP13_A,250
5,Germany,1.6,2018,M,EMP13_A,276
6,Greece,12.643,2018,M,EMP13_A,300
7,Hungary,6.61,2018,M,EMP13_A,348
8,Iceland,5.321,2018,M,EMP13_A,352
9,Ireland,7.549,2018,M,EMP13_A,372
10,Italy,4.744,2018,M,EMP13_A,380
11,Luxembourg,1.37,2018,M,EMP13_A,442
12,Netherlands,2.534,2018,M,EMP13_A,528
13,Norway,3.011,2018,M,EMP13_A,578
14,Poland,10.533,2018,M,EMP13_A,616
15,Portugal,8.067,2018,M,EMP13_A,620
16,Slovak Republic,3.192,2018,M,EMP13_A,703
17,Spain,5.9,2018,M,EMP13_A,724
18,Sweden,2.532,2018,M,EMP13_A,752
19,Switzerland,3.366,2018,M,EMP13_A,756
20,United Kingdom,1.461,2018,M,EMP13_A,826
21,Estonia,5.018,2018,M,EMP13_A,233
22,Slovenia,5.899,2018,M,EMP13_A,705
23,Latvia,9.524,2018,M,EMP13_A,428
24,Lithuania,10.303,2018,M,EMP13_A,440
0,Austria,4.068,2019,M,EMP13_A,40
1,Belgium,1.555,2019,M,EMP13_A,56
2,Czech Republic,3.402,2019,M,EMP13_A,203
3,Denmark,3.278,2019,M,EMP13_A,208
4,France,3.513,2019,M,EMP13_A,250
5,Germany,1.53,2019,M,EMP13_A,276
6,Greece,12.312,2019,M,EMP13_A,300
7,Hungary,6.274,2019,M,EMP13_A,348
8,Iceland,5.321,2019,M,EMP13_A,352
9,Ireland,7.166,2019,M,EMP13_A,372
10,Italy,4.992,2019,M,EMP13_A,380
11,Luxembourg,1.37,2019,M,EMP13_A,442
12,Netherlands,2.425,2019,M,EMP13_A,528
13,Norway,2.922,2019,M,EMP13_A,578
14,Poland,9.952,2019,M,EMP13_A,616
15,Portugal,7.294,2019,M,EMP13_A,620
16,Slovak Republic,3.976,2019,M,EMP13_A,703
17,Spain,5.698,2019,M,EMP13_A,724
18,Sweden,2.573,2019,M,EMP13_A,752
19,Switzerland,3.063,2019,M,EMP13_A,756
20,United Kingdom,1.455,2019,M,EMP13_A,826
21,Estonia,5.018,2019,M,EMP13_A,233
22,Slovenia,4.938,2019,M,EMP13_A,705
23,Latvia,9.524,2019,M,EMP13_A,428
24,Lithuania,10.303,2019,M,EMP13_A,440
0,Austria,4.998,2010,W,EMP13_A,40
1,Belgium,0.894,2010,W,EMP13_A,56
2,Czech Republic,1.917,2010,W,EMP13_A,203
3,Denmark,0.85,2010,W,EMP13_A,208
4,France,1.777,2010,W,EMP13_A,250
5,Germany,1.201,2010,W,EMP13_A,276
6,Greece,12.595,2010,W,EMP13_A,300
7,Hungary,2.313,2010,W,EMP13_A,348
8,Iceland,2.239,2010,W,EMP13_A,352
9,Ireland,1.896,2010,W,EMP13_A,372
10,Italy,2.721,2010,W,EMP13_A,380
11,Luxembourg,1.042,2010,W,EMP13_A,442
12,Netherlands,1.714,2010,W,EMP13_A,528
13,Norway,1.022,2010,W,EMP13_A,578
14,Poland,12.664,2010,W,EMP13_A,616
15,Portugal,10.914,2010,W,EMP13_A,620
16,Slovak Republic,1.769,2010,W,EMP13_A,703
17,Spain,2.446,2010,W,EMP13_A,724
18,Sweden,0.959,2010,W,EMP13_A,752
19,Switzerland,2.523,2010,W,EMP13_A,756
20,United Kingdom,0.603,2010,W,EMP13_A,826
21,Estonia,2.815,2010,W,EMP13_A,233
22,Slovenia,8.495,2010,W,EMP13_A,705
23,Latvia,5.804,2010,W,EMP13_A,428
24,Lithuania,6.545,2010,W,EMP13_A,440
0,Austria,4.661,2011,W,EMP13_A,40
1,Belgium,0.888,2011,W,EMP13_A,56
2,Czech Republic,1.876,2011,W,EMP13_A,203
3,Denmark,0.884,2011,W,EMP13_A,208
4,France,1.889,2011,W,EMP13_A,250
5,Germany,1.181,2011,W,EMP13_A,276
6,Greece,12.648,2011,W,EMP13_A,300
7,Hungary,2.647,2011,W,EMP13_A,348
8,Iceland,1.916,2011,W,EMP13_A,352
9,Ireland,1.651,2011,W,EMP13_A,372
10,Italy,2.642,2011,W,EMP13_A,380
11,Luxembourg,1.031,2011,W,EMP13_A,442
12,Netherlands,1.516,2011,W,EMP13_A,528
13,Norway,0.883,2011,W,EMP13_A,578
14,Poland,12.233,2011,W,EMP13_A,616
15,Portugal,8.799,2011,W,EMP13_A,620
16,Slovak Republic,1.427,2011,W,EMP13_A,703
17,Spain,2.392,2011,W,EMP13_A,724
18,Sweden,0.897,2011,W,EMP13_A,752
19,Switzerland,2.716,2011,W,EMP13_A,756
20,United Kingdom,0.655,2011,W,EMP13_A,826
21,Estonia,2.463,2011,W,EMP13_A,233
22,Slovenia,7.895,2011,W,EMP13_A,705
23,Latvia,5.393,2011,W,EMP13_A,428
24,Lithuania,6.462,2011,W,EMP13_A,440
0,Austria,4.246,2012,W,EMP13_A,40
1,Belgium,0.696,2012,W,EMP13_A,56
2,Czech Republic,1.926,2012,W,EMP13_A,203
3,Denmark,1.071,2012,W,EMP13_A,208
4,France,1.846,2012,W,EMP13_A,250
5,Germany,1.1,2012,W,EMP13_A,276
6,Greece,12.961,2012,W,EMP13_A,300
7,Hungary,2.802,2012,W,EMP13_A,348
8,Iceland,2.144,2012,W,EMP13_A,352
9,Ireland,1.641,2012,W,EMP13_A,372
10,Italy,2.583,2012,W,EMP13_A,380
11,Luxembourg,0.962,2012,W,EMP13_A,442
12,Netherlands,1.496,2012,W,EMP13_A,528
13,Norway,0.838,2012,W,EMP13_A,578
14,Poland,11.709,2012,W,EMP13_A,616
15,Portugal,8.909,2012,W,EMP13_A,620
16,Slovak Republic,1.655,2012,W,EMP13_A,703
17,Spain,2.415,2012,W,EMP13_A,724
18,Sweden,0.99,2012,W,EMP13_A,752
19,Switzerland,2.821,2012,W,EMP13_A,756
20,United Kingdom,0.683,2012,W,EMP13_A,826
21,Estonia,2.52,2012,W,EMP13_A,233
22,Slovenia,7.807,2012,W,EMP13_A,705
23,Latvia,4.922,2012,W,EMP13_A,428
24,Lithuania,6.383,2012,W,EMP13_A,440
0,Austria,4.187,2013,W,EMP13_A,40
1,Belgium,0.841,2013,W,EMP13_A,56
2,Czech Republic,2.068,2013,W,EMP13_A,203
3,Denmark,1.005,2013,W,EMP13_A,208
4,France,1.846,2013,W,EMP13_A,250
5,Germany,1.011,2013,W,EMP13_A,276
6,Greece,13.463,2013,W,EMP13_A,300
7,Hungary,2.609,2013,W,EMP13_A,348
8,Iceland,2.446,2013,W,EMP13_A,352
9,Ireland,1.696,2013,W,EMP13_A,372
10,Italy,2.436,2013,W,EMP13_A,380
11,Luxembourg,0.952,2013,W,EMP13_A,442
12,Netherlands,1.134,2013,W,EMP13_A,528
13,Norway,0.926,2013,W,EMP13_A,578
14,Poland,10.931,2013,W,EMP13_A,616
15,Portugal,7.892,2013,W,EMP13_A,620
16,Slovak Republic,1.661,2013,W,EMP13_A,703
17,Spain,2.243,2013,W,EMP13_A,724
18,Sweden,0.972,2013,W,EMP13_A,752
19,Switzerland,2.664,2013,W,EMP13_A,756
20,United Kingdom,0.598,2013,W,EMP13_A,826
21,Estonia,2.275,2013,W,EMP13_A,233
22,Slovenia,8.169,2013,W,EMP13_A,705
23,Latvia,4.857,2013,W,EMP13_A,428
24,Lithuania,6.088,2013,W,EMP13_A,440
0,Austria,4.57,2014,W,EMP13_A,40
1,Belgium,0.838,2014,W,EMP13_A,56
2,Czech Republic,1.636,2014,W,EMP13_A,203
3,Denmark,0.869,2014,W,EMP13_A,208
4,France,1.655,2014,W,EMP13_A,250
5,Germany,1.01,2014,W,EMP13_A,276
6,Greece,13.005,2014,W,EMP13_A,300
7,Hungary,2.627,2014,W,EMP13_A,348
8,Iceland,2.002,2014,W,EMP13_A,352
9,Ireland,1.739,2014,W,EMP13_A,372
10,Italy,2.412,2014,W,EMP13_A,380
11,Luxembourg,0.909,2014,W,EMP13_A,442
12,Netherlands,1.286,2014,W,EMP13_A,528
13,Norway,1.022,2014,W,EMP13_A,578
14,Poland,10.248,2014,W,EMP13_A,616
15,Portugal,6.296,2014,W,EMP13_A,620
16,Slovak Republic,1.686,2014,W,EMP13_A,703
17,Spain,2.245,2014,W,EMP13_A,724
18,Sweden,0.905,2014,W,EMP13_A,752
19,Switzerland,2.604,2014,W,EMP13_A,756
20,United Kingdom,0.709,2014,W,EMP13_A,826
21,Estonia,2.248,2014,W,EMP13_A,233
22,Slovenia,9.563,2014,W,EMP13_A,705
23,Latvia,4.488,2014,W,EMP13_A,428
24,Lithuania,6.696,2014,W,EMP13_A,440
0,Austria,4.214,2015,W,EMP13_A,40
1,Belgium,0.729,2015,W,EMP13_A,56
2,Czech Republic,1.636,2015,W,EMP13_A,203
3,Denmark,0.997,2015,W,EMP13_A,208
4,France,1.603,2015,W,EMP13_A,250
5,Germany,0.957,2015,W,EMP13_A,276
6,Greece,12.371,2015,W,EMP13_A,300
7,Hungary,2.641,2015,W,EMP13_A,348
8,Iceland,1.742,2015,W,EMP13_A,352
9,Ireland,1.602,2015,W,EMP13_A,372
10,Italy,2.441,2015,W,EMP13_A,380
11,Luxembourg,0.862,2015,W,EMP13_A,442
12,Netherlands,1.386,2015,W,EMP13_A,528
13,Norway,0.917,2015,W,EMP13_A,578
14,Poland,10.336,2015,W,EMP13_A,616
15,Portugal,5.393,2015,W,EMP13_A,620
16,Slovak Republic,1.321,2015,W,EMP13_A,703
17,Spain,2.109,2015,W,EMP13_A,724
18,Sweden,1.013,2015,W,EMP13_A,752
19,Switzerland,2.78,2015,W,EMP13_A,756
20,United Kingdom,0.643,2015,W,EMP13_A,826
21,Estonia,2.509,2015,W,EMP13_A,233
22,Slovenia,7.025,2015,W,EMP13_A,705
23,Latvia,5.054,2015,W,EMP13_A,428
24,Lithuania,6.608,2015,W,EMP13_A,440
0,Austria,3.932,2016,W,EMP13_A,40
1,Belgium,0.756,2016,W,EMP13_A,56
2,Czech Republic,1.72,2016,W,EMP13_A,203
3,Denmark,0.905,2016,W,EMP13_A,208
4,France,1.614,2016,W,EMP13_A,250
5,Germany,0.892,2016,W,EMP13_A,276
6,Greece,11.763,2016,W,EMP13_A,300
7,Hungary,2.839,2016,W,EMP13_A,348
8,Iceland,2.157,2016,W,EMP13_A,352
9,Ireland,1.532,2016,W,EMP13_A,372
10,Italy,2.521,2016,W,EMP13_A,380
11,Luxembourg,0.847,2016,W,EMP13_A,442
12,Netherlands,1.264,2016,W,EMP13_A,528
13,Norway,0.977,2016,W,EMP13_A,578
14,Poland,9.366,2016,W,EMP13_A,616
15,Portugal,4.788,2016,W,EMP13_A,620
16,Slovak Republic,1.409,2016,W,EMP13_A,703
17,Spain,2.142,2016,W,EMP13_A,724
18,Sweden,0.996,2016,W,EMP13_A,752
19,Switzerland,2.78,2016,W,EMP13_A,756
20,United Kingdom,0.625,2016,W,EMP13_A,826
21,Estonia,1.99,2016,W,EMP13_A,233
22,Slovenia,4.146,2016,W,EMP13_A,705
23,Latvia,5.055,2016,W,EMP13_A,428
24,Lithuania,5.587,2016,W,EMP13_A,440
0,Austria,3.683,2017,W,EMP13_A,40
1,Belgium,0.707,2017,W,EMP13_A,56
2,Czech Republic,1.789,2017,W,EMP13_A,203
3,Denmark,0.925,2017,W,EMP13_A,208
4,France,1.564,2017,W,EMP13_A,250
5,Germany,0.881,2017,W,EMP13_A,276
6,Greece,11.492,2017,W,EMP13_A,300
7,Hungary,2.84,2017,W,EMP13_A,348
8,Iceland,1.942,2017,W,EMP13_A,352
9,Ireland,1.553,2017,W,EMP13_A,372
10,Italy,2.356,2017,W,EMP13_A,380
11,Luxembourg,0.794,2017,W,EMP13_A,442
12,Netherlands,1.309,2017,W,EMP13_A,528
13,Norway,0.942,2017,W,EMP13_A,578
14,Poland,8.844,2017,W,EMP13_A,616
15,Portugal,4.183,2017,W,EMP13_A,620
16,Slovak Republic,1.366,2017,W,EMP13_A,703
17,Spain,2.277,2017,W,EMP13_A,724
18,Sweden,1.009,2017,W,EMP13_A,752
19,Switzerland,2.521,2017,W,EMP13_A,756
20,United Kingdom,0.647,2017,W,EMP13_A,826
21,Estonia,1.917,2017,W,EMP13_A,233
22,Slovenia,4.789,2017,W,EMP13_A,705
23,Latvia,4.185,2017,W,EMP13_A,428
24,Lithuania,5.468,2017,W,EMP13_A,440
0,Austria,3.286,2018,W,EMP13_A,40
1,Belgium,0.707,2018,W,EMP13_A,56
2,Czech Republic,1.765,2018,W,EMP13_A,203
3,Denmark,0.953,2018,W,EMP13_A,208
4,France,1.564,2018,W,EMP13_A,250
5,Germany,0.847,2018,W,EMP13_A,276
6,Greece,11.739,2018,W,EMP13_A,300
7,Hungary,2.717,2018,W,EMP13_A,348
8,Iceland,1.942,2018,W,EMP13_A,352
9,Ireland,1.46,2018,W,EMP13_A,372
10,Italy,2.4,2018,W,EMP13_A,380
11,Luxembourg,0.794,2018,W,EMP13_A,442
12,Netherlands,1.162,2018,W,EMP13_A,528
13,Norway,1.085,2018,W,EMP13_A,578
14,Poland,8.393,2018,W,EMP13_A,616
15,Portugal,3.932,2018,W,EMP13_A,620
16,Slovak Republic,1.19,2018,W,EMP13_A,703
17,Spain,2.173,2018,W,EMP13_A,724
18,Sweden,0.837,2018,W,EMP13_A,752
19,Switzerland,2.497,2018,W,EMP13_A,756
20,United Kingdom,0.616,2018,W,EMP13_A,826
21,Estonia,1.917,2018,W,EMP13_A,233
22,Slovenia,4.912,2018,W,EMP13_A,705
23,Latvia,4.185,2018,W,EMP13_A,428
24,Lithuania,5.468,2018,W,EMP13_A,440
0,Austria,3.19,2019,W,EMP13_A,40
1,Belgium,0.707,2019,W,EMP13_A,56
2,Czech Republic,1.739,2019,W,EMP13_A,203
3,Denmark,0.953,2019,W,EMP13_A,208
4,France,1.564,2019,W,EMP13_A,250
5,Germany,0.833,2019,W,EMP13_A,276
6,Greece,10.616,2019,W,EMP13_A,300
7,Hungary,2.83,2019,W,EMP13_A,348
8,Iceland,1.942,2019,W,EMP13_A,352
9,Ireland,1.204,2019,W,EMP13_A,372
10,Italy,2.385,2019,W,EMP13_A,380
11,Luxembourg,0.794,2019,W,EMP13_A,442
12,Netherlands,1.235,2019,W,EMP13_A,528
13,Norway,1.085,2019,W,EMP13_A,578
14,Poland,8.05,2019,W,EMP13_A,616
15,Portugal,3.631,2019,W,EMP13_A,620
16,Slovak Republic,1.342,2019,W,EMP13_A,703
17,Spain,2.048,2019,W,EMP13_A,724
18,Sweden,0.837,2019,W,EMP13_A,752
19,Switzerland,1.939,2019,W,EMP13_A,756
20,United Kingdom,0.584,2019,W,EMP13_A,826
21,Estonia,1.917,2019,W,EMP13_A,233
22,Slovenia,3.463,2019,W,EMP13_A,705
23,Latvia,4.185,2019,W,EMP13_A,428
24,Lithuania,5.468,2019,W,EMP13_A,440
0,Austria,36.562,2010,M,EMP13_I,40
1,Belgium,34.342,2010,M,EMP13_I,56
2,Czech Republic,49.014,2010,M,EMP13_I,203
3,Denmark,29.337,2010,M,EMP13_I,208
4,France,32.996,2010,M,EMP13_I,250
5,Germany,40.326,2010,M,EMP13_I,276
6,Greece,27.675,2010,M,EMP13_I,300
7,Hungary,40.224,2010,M,EMP13_I,348
8,Iceland,27.774,2010,M,EMP13_I,352
9,Ireland,26.137,2010,M,EMP13_I,372
10,Italy,38.504,2010,M,EMP13_I,380
11,Luxembourg,19.2,2010,M,EMP13_I,442
12,Netherlands,24.226,2010,M,EMP13_I,528
13,Norway,31.129,2010,M,EMP13_I,578
14,Poland,41.738,2010,M,EMP13_I,616
15,Portugal,37.508,2010,M,EMP13_I,620
16,Slovak Republic,50.005,2010,M,EMP13_I,703
17,Spain,33.649,2010,M,EMP13_I,724
18,Sweden,30.759,2010,M,EMP13_I,752
19,Switzerland,30.801,2010,M,EMP13_I,756
20,United Kingdom,29.296,2010,M,EMP13_I,826
21,Estonia,43.163,2010,M,EMP13_I,233
22,Slovenia,42.571,2010,M,EMP13_I,705
23,Latvia,33.499,2010,M,EMP13_I,428
24,Lithuania,33.333,2010,M,EMP13_I,440
0,Austria,37.849,2011,M,EMP13_I,40
1,Belgium,34.491,2011,M,EMP13_I,56
2,Czech Republic,49.428,2011,M,EMP13_I,203
3,Denmark,29.337,2011,M,EMP13_I,208
4,France,32.518,2011,M,EMP13_I,250
5,Germany,40.32,2011,M,EMP13_I,276
6,Greece,24.765,2011,M,EMP13_I,300
7,Hungary,40.28,2011,M,EMP13_I,348
8,Iceland,27.618,2011,M,EMP13_I,352
9,Ireland,25.056,2011,M,EMP13_I,372
10,Italy,38.006,2011,M,EMP13_I,380
11,Luxembourg,19.685,2011,M,EMP13_I,442
12,Netherlands,23.27,2011,M,EMP13_I,528
13,Norway,31.787,2011,M,EMP13_I,578
14,Poland,42.005,2011,M,EMP13_I,616
15,Portugal,36.881,2011,M,EMP13_I,620
16,Slovak Republic,50.282,2011,M,EMP13_I,703
17,Spain,32.216,2011,M,EMP13_I,724
18,Sweden,30.871,2011,M,EMP13_I,752
19,Switzerland,30.929,2011,M,EMP13_I,756
20,United Kingdom,29.157,2011,M,EMP13_I,826
21,Estonia,45.685,2011,M,EMP13_I,233
22,Slovenia,42.766,2011,M,EMP13_I,705
23,Latvia,32.452,2011,M,EMP13_I,428
24,Lithuania,33.278,2011,M,EMP13_I,440
0,Austria,37.866,2012,M,EMP13_I,40
1,Belgium,32.688,2012,M,EMP13_I,56
2,Czech Republic,49.357,2012,M,EMP13_I,203
3,Denmark,29.337,2012,M,EMP13_I,208
4,France,32.048,2012,M,EMP13_I,250
5,Germany,40.237,2012,M,EMP13_I,276
6,Greece,22.951,2012,M,EMP13_I,300
7,Hungary,39.095,2012,M,EMP13_I,348
8,Iceland,28.2,2012,M,EMP13_I,352
9,Ireland,24.138,2012,M,EMP13_I,372
10,Italy,37.332,2012,M,EMP13_I,380
11,Luxembourg,18.939,2012,M,EMP13_I,442
12,Netherlands,23.569,2012,M,EMP13_I,528
13,Norway,31.63,2012,M,EMP13_I,578
14,Poland,41.899,2012,M,EMP13_I,616
15,Portugal,34.755,2012,M,EMP13_I,620
16,Slovak Republic,50.64,2012,M,EMP13_I,703
17,Spain,30.359,2012,M,EMP13_I,724
18,Sweden,30.279,2012,M,EMP13_I,752
19,Switzerland,30.068,2012,M,EMP13_I,756
20,United Kingdom,28.706,2012,M,EMP13_I,826
21,Estonia,44.315,2012,M,EMP13_I,233
22,Slovenia,41.524,2012,M,EMP13_I,705
23,Latvia,33.411,2012,M,EMP13_I,428
24,Lithuania,34.628,2012,M,EMP13_I,440
0,Austria,37.255,2013,M,EMP13_I,40
1,Belgium,32.836,2013,M,EMP13_I,56
2,Czech Republic,48.706,2013,M,EMP13_I,203
3,Denmark,29.207,2013,M,EMP13_I,208
4,France,31.283,2013,M,EMP13_I,250
5,Germany,39.712,2013,M,EMP13_I,276
6,Greece,21.193,2013,M,EMP13_I,300
7,Hungary,39.107,2013,M,EMP13_I,348
8,Iceland,28.664,2013,M,EMP13_I,352
9,Ireland,24.445,2013,M,EMP13_I,372
10,Italy,36.597,2013,M,EMP13_I,380
11,Luxembourg,17.91,2013,M,EMP13_I,442
12,Netherlands,23.32,2013,M,EMP13_I,528
13,Norway,31.83,2013,M,EMP13_I,578
14,Poland,42.1,2013,M,EMP13_I,616
15,Portugal,32.081,2013,M,EMP13_I,620
16,Slovak Republic,49.097,2013,M,EMP13_I,703
17,Spain,29.199,2013,M,EMP13_I,724
18,Sweden,29.337,2013,M,EMP13_I,752
19,Switzerland,30.266,2013,M,EMP13_I,756
20,United Kingdom,28.383,2013,M,EMP13_I,826
21,Estonia,42.99,2013,M,EMP13_I,233
22,Slovenia,41.367,2013,M,EMP13_I,705
23,Latvia,34.467,2013,M,EMP13_I,428
24,Lithuania,35.22,2013,M,EMP13_I,440
0,Austria,37.339,2014,M,EMP13_I,40
1,Belgium,32.7,2014,M,EMP13_I,56
2,Czech Republic,49.096,2014,M,EMP13_I,203
3,Denmark,28.549,2014,M,EMP13_I,208
4,France,30.358,2014,M,EMP13_I,250
5,Germany,40.122,2014,M,EMP13_I,276
6,Greece,20.342,2014,M,EMP13_I,300
7,Hungary,39.955,2014,M,EMP13_I,348
8,Iceland,27.966,2014,M,EMP13_I,352
9,Ireland,24.756,2014,M,EMP13_I,372
10,Italy,36.644,2014,M,EMP13_I,380
11,Luxembourg,16.176,2014,M,EMP13_I,442
12,Netherlands,22.943,2014,M,EMP13_I,528
13,Norway,32.024,2014,M,EMP13_I,578
14,Poland,41.81,2014,M,EMP13_I,616
15,Portugal,32.194,2014,M,EMP13_I,620
16,Slovak Republic,47.783,2014,M,EMP13_I,703
17,Spain,28.651,2014,M,EMP13_I,724
18,Sweden,28.803,2014,M,EMP13_I,752
19,Switzerland,29.639,2014,M,EMP13_I,756
20,United Kingdom,28.386,2014,M,EMP13_I,826
21,Estonia,42.087,2014,M,EMP13_I,233
22,Slovenia,41.617,2014,M,EMP13_I,705
23,Latvia,34.987,2014,M,EMP13_I,428
24,Lithuania,33.539,2014,M,EMP13_I,440
0,Austria,37.869,2015,M,EMP13_I,40
1,Belgium,32.799,2015,M,EMP13_I,56
2,Czech Republic,49.115,2015,M,EMP13_I,203
3,Denmark,28.041,2015,M,EMP13_I,208
4,France,30.197,2015,M,EMP13_I,250
5,Germany,39.753,2015,M,EMP13_I,276
6,Greece,20.012,2015,M,EMP13_I,300
7,Hungary,39.867,2015,M,EMP13_I,348
8,Iceland,27.752,2015,M,EMP13_I,352
9,Ireland,26.116,2015,M,EMP13_I,372
10,Italy,36.143,2015,M,EMP13_I,380
11,Luxembourg,17.73,2015,M,EMP13_I,442
12,Netherlands,23.366,2015,M,EMP13_I,528
13,Norway,31.594,2015,M,EMP13_I,578
14,Poland,41.856,2015,M,EMP13_I,616
15,Portugal,32.991,2015,M,EMP13_I,620
16,Slovak Republic,48.363,2015,M,EMP13_I,703
17,Spain,29.216,2015,M,EMP13_I,724
18,Sweden,28.486,2015,M,EMP13_I,752
19,Switzerland,29.244,2015,M,EMP13_I,756
20,United Kingdom,28.092,2015,M,EMP13_I,826
21,Estonia,43.147,2015,M,EMP13_I,233
22,Slovenia,42.928,2015,M,EMP13_I,705
23,Latvia,34.736,2015,M,EMP13_I,428
24,Lithuania,34.098,2015,M,EMP13_I,440
0,Austria,37.616,2016,M,EMP13_I,40
1,Belgium,32.507,2016,M,EMP13_I,56
2,Czech Republic,49.016,2016,M,EMP13_I,203
3,Denmark,27.464,2016,M,EMP13_I,208
